page	line	occurrence	base_line_version	decision	issue	evidence
f13	c2-l016	1	sha256:2e63fe46d40d6935f18b889a0a33cf9b912049a3fca85277bb2d97c51ce70a26	confirmed_long_s_t	45	specialist_tile_manual_check
f14	c1-l003	1	sha256:8d28ceda0ed81c83e2868767712ccbd76bae9af91ecf4cac35c607de57842c09	confirmed_long_s_t	45	specialist_tile_manual_check
f14	c1-l044	1	sha256:3751452476602a524589c2f828c5f7b8b29982142983dd73c00d00bae1162649	confirmed_long_s_t	45	specialist_tile_manual_check
f14	c2-l027	1	sha256:38683fe21e3c6352d57aef3f0a2646af264625a61b3c4989a351426d58ff37a6	confirmed_long_s_t	45	specialist_tile_manual_check
f14	c2-l035	1	sha256:987c1aaf32edfff7923e944524a2d94d288b5d18cc8f4ef84bf8481a32d05136	confirmed_long_s_t	45	specialist_tile_manual_check
f14	c2-l041	1	sha256:c5c3d768a1eef6572d489c4e3cd790cbd229ecd7a94aeef814662de32763c3c8	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c1-l007	1	sha256:e753d3afb5b2546127f9412961c523f28d6d2cc2d5be02856aa6215968427bbb	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l009	1	sha256:e2908d88ae36db0aef4f7a858fb3dc1b2921e94960162cf848b4e1283dc152dc	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l014	1	sha256:1a0b580f8b7e1285c50260501e7c72a4f79ac83e581cdbc7ac017592f8e2a214	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l033	1	sha256:95949157c586cda1af82707f19e0ecc1d6a6f803d566e471780b0b66887b2664	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l036	1	sha256:555dfc8ea1c5cf2343f35e3e53e84c0223081dca2e0daadc5efd92f287d2c47a	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l037	1	sha256:e676905fe406c58ebf4ee98654dba731258f0142bc871a693e05484203403e70	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l037	2	sha256:e676905fe406c58ebf4ee98654dba731258f0142bc871a693e05484203403e70	confirmed_long_s_t	45	specialist_tile_manual_check
f15	c2-l038	1	sha256:df9b7e31ba04748356d994963fbce591c788ad337b9553992d4f6369a47bfc8a	confirmed_long_s_t	45	specialist_tile_manual_check
f16	c1-l007	1	sha256:ce0ede03eff111a5e1962bed34373e80cecaae9df575d381a5cedb9fe14990d9	confirmed_long_s_t	45	specialist_tile_manual_check
